INDONESIA,ZUFRASI,,KAMUS INDONESIA - ZUFRASI,,
hewan,ahl-yabukha,,,,
hidup,taba,,,,
hilang,nyisa,,,,
hina,resa,,,,
hitam,cesa,,,,
homo,ahl-wakhuhiza,,,,
hormat,hasa,,,,
hukum,asyam,,,,
ia,syiza,,,,
ialah,asyasa,,,,
ikhlas,musu,,,,
ikrar,huwja,,,,
ilmu,khasang,,,,
iman,zangikh,,,,
imbal,nasa,,,,
imbang,hemaka,,,,
individu,ahl-wakhuhiza,,,,
ingat,idam,,,,
ingin,wabu,,,,
ingkar,nakhma,,,,
ini,syiza,,,,
insan,ahl-wakhuhiza,,,,
inti,ikhmi,,,,
intip,jakhsyad,,,,
intuisi,khasuki,,,,
iri,nekhri,,,,
itu,syiza,,,,
jadi,gasyi,,,,
jaga,gaca,,,,
jagad,ahr-asa,,,,
jajah,mikhsya,,,,
jalan,gasakh,,,,
jamak,nakha*,,,,
jangan,sakad,,,,
janji,huwja,,,,
jantan,jekiza,,,,
jarah,gakanya,,,,
jarak,gabu,,,,
jasa,gaha,,,,
jauh,gabu,,,,
jawab,nyasi,,,,
jeda,akhmaka,,,,
jelas,gesa,,,,
jelek,resa,,,,
jinjing,naba,,,,
jiwa,ahr-taba,,,,
jujur,musu,,,,
julang,gusad,,,,
junjung,gukhgu,,,,
kahyangan,ahr-adngasa,,,,
kala,ham,,,,
kalah,mukhsyung,,,,
kami,a,,,,
kamu,akhsya,,,,
karena,syawja,,,,
karma,syawja,,,,
karta,ngoma,,,,
karunia,nyasyiza,,,,
karya ,ose,,,,
kasar,aha,,,,
kasih,rikhma,,,,
kaul,huwja,,,,
kaum,nadha,,,,
kaya,ngaza,,,,
kecuali,ruwasi,,,,
kedip,ngega,,,,
kedut,ngega,,,,
kehendak,khizam,,,,
kejap,ngega,,,,
kekal,anasyi,,,,
kelam,cesa,,,,
kelar,hemesa,,,,
kelompok,nadha,,,,
kembali,usad,,,,
kemudian,sakhma,,,,
kenang,idam,,,,
kepada,jasya,,,,
kepala,jasa,,,,
kerumun,kawaz,,,,
kezel,nekhri,,,,
kikir,nafis,,,,
kikir (Obj),aha,,,,
kisah,kihasa,,,,
kita ,a,,,,
kitab,nung,,,,
kokoh,jasyam,,,,
komando,jikhma,,,,
komplet,umu,,,,
koordinat,semang,,,,
kosong,mizasya,,,,
kota,ngoma,,,,
kuasa,syaza,,,,
kuat,syaza,,,,
kubur,makha,,,,
kukuh,mecang,,,,
kumpul,kawaz,,,,
kutuk,nasa,,,,
lagi,usad,,,,
lahir,nadu,,,,
lain,nesya,,,,
laju,gasakh,,,,
laki,jekiza,,,,
laknat,nasa,,,,
lakon,kihasa,,,,
laku,nusyi,,,,
lalai,suja,,,,
lalu,husya,,,,
lampau,hisa,,,,
lanang,jekiza,,,,
landas,sakhsya,,,,
langit ,ahr-adngasa,,,,
langit ,ahr-sadim,,,,
langit yang tampak dari bumi,ahr-sadim,,,,
langkah,gasakh,,,,
lantas,sakhma,,,,
lara,haka,,,,
larang,sakad,,,,
larutan,ahr-razik,,,,
latih,agak,,,,
layak,jakhma,,,,
layan,gaha,,,,
layu,sazu,,,,
lebat,jasyam,,,,
lebih,ngaza,,,,
lebur,amu,,,,
lemah,sazu,,,,
lemas,sazu,,,,
lembut,hoym,,,,
lena,sekha,,,,
lena ,sekha,,,,
lengkap,umu,,,,
lestari,anasyi,,,,
letak,semang,,,,
letoi,sazu,,,,
lewat,jahnaz,,,,
lihat,jakhsyad,,,,
limpah,kuba,,,,
lingkar,usad,,,,
liput,khabud,,,,
lirik,jakhsyad,,,,
logam,soca,,,,
lokasi,semang,,,,
luka,haka,,,,
lunglai,sazu,,,,
lupa,suja,,,,
magnet,wakhe,,,,
maka,hujaza,,,,
makan,wanga,,,,
makmur,ngaza,,,,
maksud,hedaga,,,,
mala,jemanga,,,,
malam,wasa,,,,
mampat,mumus,,,,
mandiri,bakhsyiki,,,,
mani,aza,,,,
manusia,ahl-wakhuhiza,,,,
marah,waka,,,,
masa,ham,,,,
massa,waha,,,,
masuk,khabud,,,,
matahari,ahr-wamanyaki,,,,
mati,wami,,,,
mau,wabu,,,,
memori,idam,,,,
mengamini,haza,,,,
mengenali,haza,,,,
mengerti,khasuki,,,,
meninggal,wami,,,,
mentari,ahr-wamanyaki,,,,
menuju,angakh,,,,
menyatu,amu,,,,
mereka,syizaha,,,,
merupakan,asyasa,,,,
mesti,bagin,,,,
milik,juta,,,,
minta,jikhma,,,,
minus,makhja,,,,
mirip,hekuja,,,,
moksa,huri,,,,
momen,totekh,,,,
mudah,wusya,,,,
mujur,alukhmud,,,,
mula,wusa,,,,
mulia,wusiza,,,,
mumpuni,baka,,,,
muncul,nadu,,,,
musik,hubaka,,,,
musim,wuhi,,,,
muslihat,miju,,,,
mustahak,jakhma,,,,
musyawarah,wulabaka,,,,
nafas,khaya,,,,
nafsu,cazika,,,,
nahas,khanya,,,,
nalar,khasang,,,,
naluri,khasuki,,,,
nan,zad,,,,
naung,khabud,,,,
niat,khizam,,,,
nilai,khisaz,,,,
nisbi,hewu,,,,
niscaya,gesa,,,,
norma,asyam,,,,
nurani,khizam,,,,
nya,syiza,,,,
nyata,asya,,,,
nyawa,taba,,,,
nyawa,ahr-taba,,,,
obsesi,cazika,,,,
oleh,ose,,,,
orang,ahl-wakhuhiza,,,,
pada,jasya,,,,
padanan,jasyala,,,,
padat,jasyam,,,,
pagi,hizad,,,,
paksa,jangha,,,,
panas,ahr-naka,,,,
pandang,jakhsyad,,,,
pandu,jakhsyu,,,,
panggul,gukhgu,,,,
pantas,jakhma,,,,
paripurna,umu,,,,
pasti,gesa,,,,
patuh,mam,,,,
patut,jakhma,,,,
pedit,nafis,,,,
peduli,jesyusi,,,,
pegang,hekhmu,,,,
pekat,cesa,,,,
pelit,nafis,,,,
pelopor,ngejasa,,,,
pendar,ahr-reka,,,,
penuh,jekhu,,,,
perangkat,khisaz,,,,
percaya,zangikh,,,,
perih,haka,,,,
perintah,jikhma,,,,
perlu,numu,,,,
pernah,husya,,,,
perpustakaan,narala,,,,
pertama,wusa,,,,
petaka,jemanga,,,,
petang,wasa,,,,
pijak,sakhsya,,,,
pikat,sekha,,,,
pikiran ,khasang,,,,
pikul,gukhgu,,,,
pilih,jisi,,,,
pimpin,ngejasa,,,,
pindah,mekhahina,,,,
pinta,jikhma,,,,
pintar,aki,,,,
pisah,naci,,,,
pohon,ahr-makhala,,,,
pokok,ikhmi,,,,
pola,josa,,,,
posisi,semang,,,,
potong,mena,,,,
pra,jeka,,,,
pria,jekiza,,,,
puan,bakhima,,,,
punah,juha,,,,
puncak,gusad,,,,
punya,juta,,,,
purnama,ahr-nusakh,,,,
raga,ahr-kaca,,,,
ragam,nesya,,,,
ragu,kacuha,,,,
raih,niha,,,,
rakus,kangu,,,,
ramai,kawaz,,,,
ramal,kawas,,,,
rampas,gakanya,,,,
rangkai,kawaz,,,,
rangkum,khabud,,,,
rasa,rikhma,,,,
rata,kama,,,,
rawat,gaca,,,,
raya,kaza,,,,
regu,nadha,,,,
reguk,khaya,,,,
rembug,wulabaka,,,,
rendah,kekhsya,,,,
renggang,gabu,,,,
rimbun,jasyam,,,,
ringan,wusya,,,,
ringkih,sazu,,,,
ripah,kuba,,,,
risalah,kihasa,,,,
ruah,kuba,,,,
runding,wulabaka,,,,
rusak,resa,,,,
saat ,ham,,,,
sabar,hemiza,,,,
sadar,baka,,,,
sakit,haka,,,,
salah,hasa,,,,
salam,hasa,,,,
sama,hawa,,,,
sambut,besngo,,,,
sangka,yimkha,,,,
sangsi,kacuha,,,,
sari,ikhmi,,,,
saudara,habsyaka,,,,
sawan,nasa,,,,
sayang,syozakh,,,,
sebelum,hejeka,,,,
segala,hesuku,,,,
segala yang tampak di atas bumi,ahr-adngasa,,,,
segan,hasa,,,,
sehat,baka,,,,
sehingga,sakhma,,,,
seimbang,hemaka,,,,
seiring,mam,,,,
sejahtera,ngaza,,,,
sejalan,jakaze,,,,
sejarah,hegaka,,,,
sejati,hegami,,,,
sekadar,ruwa,,,,
selain,ruwasi,,,,
selamat,hesawa,,,,
selesai,hesehazi,,,,
seluruh,hesuku,,,,
semesta,ahr-asa,,,,
sempurna,umu,,,,
semu,hewu,,,,
semua,hesuku,,,,
sendiri,bakhsyiki,,,,
sengaja,hedaga,,,,
sentuh,hekhmu,,,,
sepele,wusya,,,,
seperti,hekuja,,,,
serigala,hekicasa,,,,
serempak,syakh,,,,
serupa,hekuja,,,,
sesat,hasa,,,,
sesuai,jakhma,,,,
sesuatu,muamu,,,,
sesudah,hemesa,,,,
setara,hemaka,,,,
setelah,hemesa,,,,
setia,hemiza,,,,
sial,khanya,,,,
siang,hizad,,,,
silam,hisa,,,,
simak,madnga,,,,
simbol,makhsya,,,,
simpan,makha,,,,
simpuh,mukhsyung,,,,
singkir,nyisa,,,,
sore,hizad,,,,
status,hemamu,,,,
suara,hubaka,,,,
suci,huri,,,,
sudah,husya,,,,
suka,syozakh,,,,
sukses,ukhmud,,,,
suku,hungu,,,,
sumpah,huwja,,,,
sungguh,hegami,,,,
supaya,hujaza,,,,
surya,ahr-wamanyaki,,,,
susun,amuk,,,,
taat,mam,,,,
tabiat,nusyi,,,,
tabrak,manka,,,,
tahu,khasuki,,,,
tak,mang,,,,
takluk,mukhsyung,,,,
tamak,kangu,,,,
tanah,ahr-makha,,,,
tanam,makha,,,,
tancap,makha,,,,
tanda,makhsya,,,,
tanggung,gukhgu,,,,
tanpa,makhja,,,,
tanya,mata,,,,
taruh,makha,,,,
tata,amuk,,,,
tatap,jakhsyad,,,,
tebal,jasyam,,,,
tebang,mena,,,,
tebas,mena,,,,
tegak,mecang,,,,
tegas,gesa,,,,
teguh,mecang,,,,
tekan,jangha,,,,
telah,husya,,,,
telantar,anaz,,,,
tempat,syi,,,,
temu,wi,,,,
tenaga,syaza,,,,
tengah,akhmaka,,,,
tentang,mekhma,,,,
tenung,kawas,,,,
terang,ahr-reka,,,,
terbit,nadu,,,,
terhadap,jasya,,,,
terkait,hekuja,,,,
terus,meku,,,,
tes,rona,,,,
tetap,gesa,,,,
tiada,mizasya,,,,
tiang,gusad,,,,
tiap,miza,,,,
tiba,miwa,,,,
tidak,mang,,,,
tidur,misyu,,,,
timpal,nyasi,,,,
tindas,mikhsya,,,,
tinggi,gusad,,,,
tingkat,hemamu,,,,
tipu,miju,,,,
tohok,haka,,,,
tolak,nakhma,,,,
tolol,syudu,,,,
tradisi,asyam,,,,
